Paper Title,Extracted Sentence
Multi-scale Prototypical Transformer for Whole Slide Image Classification,the mspt includes two key components: a prototypical transformer (pt) and a multi-scale feature fusion module (mffm).
Thyroid Nodule Diagnosis in Dynamic Contrast-Enhanced Ultrasound via Microvessel Infiltration Awareness,none
Triangular Analysis of Geographical Interplay of Lymphocytes (TriAnGIL): Predicting Immunotherapy Response in Lung Cancer,"specimens were analyzed with a multiplexed quantitative immunofluorescence (qif) panel using the method described in  the two top predictive triangil features were found to be the number of edges between stroma and cd4+ cells, and the number of edges between stroma and tumor cells with more interactions between stromal cells and both cd4+ and tumor cells being associated with response to io."
Triangular Analysis of Geographical Interplay of Lymphocytes (TriAnGIL): Predicting Immunotherapy Response in Lung Cancer,"this finding is concordant with other studies  result: figure  we presented a new approach, triangular analysis of geographical interplay of lymphocytes (triangil), to quantitatively chartacterize the spatial arrangement and relative geographical interplay of multiple cell families across pathological images."
Triangular Analysis of Geographical Interplay of Lymphocytes (TriAnGIL): Predicting Immunotherapy Response in Lung Cancer,"compared to previous spatial graph-based methods, triangil quantifies the spatial interplay between multiple cell families, providing a more comprehensive portrait of the tumor microenvironment."
NASDM: Nuclei-Aware Semantic Histopathology Image Generation Using Diffusion Models,none
DiffDP: Radiotherapy Dose Prediction via a Diffusion Model,"for promising curative effect, a high-quality radiotherapy plan is demanded to distribute sufficient dose of radiation to the planning target volume (ptv) while minimizing the radiation hazard to organs at risk (oars)."
DiffDP: Radiotherapy Dose Prediction via a Diffusion Model,"to achieve this, radiotherapy plans need to be manually adjusted by the dosimetrists in a trial-and-error manner, which is extremely labor-intensive and time-consuming  recently, the blossom of deep learning (dl) has promoted the automatic medical image processing tasks  although the above methods have achieved good performance in predicting dose distribution, they suffer from the over-smoothing problem."
DiffDP: Radiotherapy Dose Prediction via a Diffusion Model,"these dl-based dose prediction methods always apply the l 1 or l 2 loss to guide the model optimization which calculates a posterior mean of the joint distribution between the predictions and the ground truth  in this paper, we investigate the feasibility of applying a diffusion model to the dose prediction task and propose a diffusion-based model, called diffdp, to automatically predict the clinically acceptable dose distribution for rectum cancer patients."
DiffDP: Radiotherapy Dose Prediction via a Diffusion Model,"overall, the contributions of this paper can be concluded as follows:  dataset and evaluations."
DiffDP: Radiotherapy Dose Prediction via a Diffusion Model,we measure the performance of our model on an in-house rectum cancer dataset which contains 130 patients who underwent volumetric modulated arc therapy (vmat) treatment at west china hospital.
DiffDP: Radiotherapy Dose Prediction via a Diffusion Model,"concretely, for every patient, the ct images, ptv segmentation, oars segmentations, and the clinically planned dose distribution are included."
Position-Aware Masked Autoencoder for Histopathology WSI Representation Learning,"in the past few years, the development of histopathological whole slide image (wsi) analysis methods has dramatically contributed to the intelligent cancer diagnosis  generally, multiple instance learning (mil) is one of the most popular solutions for wsi analysis  however, hipt is a hierarchical learning framework based on a greedy training strategy."
Position-Aware Masked Autoencoder for Histopathology WSI Representation Learning,the bias and error generated in each level of the representation model will accumulate in the final decision model.
Position-Aware Masked Autoencoder for Histopathology WSI Representation Learning,"moreover, the vit  in this paper, we propose a novel whole slide image representation learning framework named position-aware masked autoencoder (pama), which achieves slide-level representation learning by reconstructing the local representations of the wsi in the patch feature space."
Detection-Free Pipeline for Cervical Cancer Screening of Whole Slide Images,"cervical cancer is a common and severe disease that affects millions of women globally, particularly in developing countries  several computer-aided cervical cancer screening methods have been proposed for whole slide images (wsis) in the literature."
Detection-Free Pipeline for Cervical Cancer Screening of Whole Slide Images,"most of them are detectionbased methods, which typically contain a detection model as well as some postprocessing modules in their frameworks."
Detection-Free Pipeline for Cervical Cancer Screening of Whole Slide Images,cervical cancer cell detection datasets involve labeling individual and small bounding boxes in a large number of cells.
Detection-Free Pipeline for Cervical Cancer Screening of Whole Slide Images,"it often requires multiple experienced pathologists to annotate  to address the aforementioned issues, we propose a detection-free pipeline in this paper, which does not rely on any detection model."
Detection-Free Pipeline for Cervical Cancer Screening of Whole Slide Images,"instead, our pipeline requires only sample-level diagnosis labels, which are naturally available in clinical scenarios and thus get rid of additional image labeling."
Detection-Free Pipeline for Cervical Cancer Screening of Whole Slide Images,dataset and experimental setup.
Detection-Free Pipeline for Cervical Cancer Screening of Whole Slide Images,"in this study, we have collected 5384 cervical cytopathological wsi by 20x lens, each with 20000 × 20000 pixels, from our collaborating hospitals."
Detection-Free Pipeline for Cervical Cancer Screening of Whole Slide Images,"among them, there 2853 negative samples, and 2531 positive samples (962 ascus, and 1569 high-level positive samples)."
Detection-Free Pipeline for Cervical Cancer Screening of Whole Slide Images,"in this section, we experiment to demonstrate the effectiveness of all the proposed parts in our pipeline."
Detection-Free Pipeline for Cervical Cancer Screening of Whole Slide Images,"we divide all 5384 samples into five independent parts for five-fold cross-validation, and the results are shown in table  cervical cancer is a common and severe disease that affects millions of women globally, particularly in developing countries  several computer-aided cervical cancer screening methods have been proposed for whole slide images (wsis) in the literature."
Instance-Aware Diffusion Model for Gland Segmentation in Colon Histology Images,"this method effectively integrates the abundant information from the original image, thereby enhancing the distinction between the objects and the surrounding background."
Instance-Aware Diffusion Model for Gland Segmentation in Colon Histology Images,"our proposed method was trained and tested on the 2015 mic-cai gland segmentation (glas) challenge dataset  colorectal cancer is a prevalent form of cancer characterized by colorectal adenocarcinoma, which develops in the colon or rectum's inner lining and exhibits glandular structures  recently, diffusion model  in this paper, we propose a new method for gland instance segmentation based on the diffusion model."
Instance-Aware Diffusion Model for Gland Segmentation in Colon Histology Images,(1) our method utilizes a diffusion model to perform denoising and tackle the task of gland instance segmentation in histology images.
Instance-Aware Diffusion Model for Gland Segmentation in Colon Histology Images,our proposed method was trained and tested on the 2015 mic-cai gland segmentation (glas) challenge dataset 
Adaptive Supervised PatchNCE Loss for Learning H&E-to-IHC Stain Translation with Inconsistent Groundtruth Image Pairs,"to that end, researchers have recently proposed to use gan-based image-to-image translation (i2it) algorithms for transforming h&e-stained slides into ihc."
Adaptive Supervised PatchNCE Loss for Learning H&E-to-IHC Stain Translation with Inconsistent Groundtruth Image Pairs,"despite the progress, the outstanding challenge in training such i2it frameworks is the lack of aligned h&e-ihc image pairs, or in other words, the inconsistencies in the h&e-ihc groundtruth pairs."
Adaptive Supervised PatchNCE Loss for Learning H&E-to-IHC Stain Translation with Inconsistent Groundtruth Image Pairs,"to explain, since re-staining a slice is physically infeasible, a matching pair of h&e-ihc slices are taken from two depth-wise consecutive cuts of the same tissue then stained and scanned separately."
Adaptive Supervised PatchNCE Loss for Learning H&E-to-IHC Stain Translation with Inconsistent Groundtruth Image Pairs,datasets.
Adaptive Supervised PatchNCE Loss for Learning H&E-to-IHC Stain Translation with Inconsistent Groundtruth Image Pairs,the following datasets are used in our experiments: the breast cancer immunohistochemical (bci) challenge dataset  implementation details.
Adaptive Supervised PatchNCE Loss for Learning H&E-to-IHC Stain Translation with Inconsistent Groundtruth Image Pairs,"for all of our models, we used resnet-6blocks as the generator and a 5-layer patchgan as the discriminator."
HIGT: Hierarchical Interaction Graph-Transformer for Whole Slide Image Analysis,none
MPBD-LSTM: A Predictive Model for Colorectal Liver Metastases Using Time Series Multi-phase Contrast-Enhanced CT Scans,"colorectal cancer is the third most common malignant tumor, and nearly half of all patients with colorectal cancer develop liver metastasis during the course of the disease  extensive existing works have demonstrated the power of deep learning on various spatial-temporal data, and can potentially be applied towards the problem of crlm."
MPBD-LSTM: A Predictive Model for Colorectal Liver Metastases Using Time Series Multi-phase Contrast-Enhanced CT Scans,"for example, originally designed for natural data, several mainstream models such as e3d-lstm  however, all these methods have only demonstrated their effectiveness towards 3d/4d data (i.e., time-series 2d/3d images), and it is not clear how to best extend them to work with the 5d cect data."
MPBD-LSTM: A Predictive Model for Colorectal Liver Metastases Using Time Series Multi-phase Contrast-Enhanced CT Scans,-no other malignant tumors.
MPBD-LSTM: A Predictive Model for Colorectal Liver Metastases Using Time Series Multi-phase Contrast-Enhanced CT Scans,our retrospective dataset includes two cohorts from two hospitals.
MPBD-LSTM: A Predictive Model for Colorectal Liver Metastases Using Time Series Multi-phase Contrast-Enhanced CT Scans,the first cohort consists of 201 patients and the second cohort includes 68 patients.
MPBD-LSTM: A Predictive Model for Colorectal Liver Metastases Using Time Series Multi-phase Contrast-Enhanced CT Scans,all images underwent manual quality control to exclude any scans with noticeable artifacts or blurriness and to verify the completeness of all slices.
MPBD-LSTM: A Predictive Model for Colorectal Liver Metastases Using Time Series Multi-phase Contrast-Enhanced CT Scans,"additional statistics on our dataset are presented in table  colorectal cancer is the third most common malignant tumor, and nearly half of all patients with colorectal cancer develop liver metastasis during the course of the disease  extensive existing works have demonstrated the power of deep learning on various spatial-temporal data, and can potentially be applied towards the problem of crlm."
Deep Cellular Embeddings: An Explainable Plug and Play Improvement for Feature Representation in Histopathology,for these two tasks we used artifact-free tiles from tumor regions detected with an in-house tumor detection model.
Deep Cellular Embeddings: An Explainable Plug and Play Improvement for Feature Representation in Histopathology,"for breast cancer metastasis detection in lymph node tissue, we used wsis of h&estained healthy lymph node tissue and lymph node tissue with breast cancer metastases from the publicly available camelyon16 challenge data set  for cell of origin (coo) prediction of activated b-cell like (abc) or germinal center b-cell like (gcb) tumors in diffuse large b-cell lymphoma (dlbcl), we used data from the phase 3 goya (nct01287741) and phase 2 cavalli (nct02055820) clinical trials, hereafter referred to as ct1 and ct2, respectively."
Deep Cellular Embeddings: An Explainable Plug and Play Improvement for Feature Representation in Histopathology,all slides were h&e-stained and scanned using ventana dp200 scanners at 40× magnification.
Progressive Attention Guidance for Whole Slide Vulvovaginal Candidiasis Screening,none
CellGAN: Conditional Cervical Cell Synthesis for Augmenting Cytopathological Image Classification,none
An Anti-biased TBSRTC-Category Aware Nuclei Segmentation Framework with a Multi-label Thyroid Cytology Benchmark,none
Multi-modal Pathological Pre-training via Masked Autoencoders for Breast Cancer Diagnosis,"breast cancer (bc) is one of the most common malignant tumors in women worldwide and it causes nearly 0.7 million deaths in 2020  recently, with the development of transformer, multi-modal pre-training has achieved great success in the fields of computer vision (cv) and natural language processing (nlp)."
Multi-modal Pathological Pre-training via Masked Autoencoders for Breast Cancer Diagnosis,"according to the data format, there are two main multi-modal pre-training approaches, as shown in fig."
Multi-modal Pathological Pre-training via Masked Autoencoders for Breast Cancer Diagnosis,"to our best knowledge, this is the first pre-training work based on multi-modal pathological data."
Multi-modal Pathological Pre-training via Masked Autoencoders for Breast Cancer Diagnosis,"we evaluate the proposed method on two public datasets as herohe challenge and bci challenge, which shows that our method achieves state-of-theart performance."
Multi-modal Pathological Pre-training via Masked Autoencoders for Breast Cancer Diagnosis,i=1 and {yi} λ 2 n i=1 into the modal-fusion encoder to extract the patch tokens {fi} λ 1 n i=1 and {gi} λ 2 n i=1 .
Multi-modal Pathological Pre-training via Masked Autoencoders for Breast Cancer Diagnosis,x and y are reconstructed by modal-specific decoders respectively.
Multi-modal Pathological Pre-training via Masked Autoencoders for Breast Cancer Diagnosis,acrobat challenge.
Multi-modal Pathological Pre-training via Masked Autoencoders for Breast Cancer Diagnosis,the automatic registration of breast cancer tissue (acrobat) challenge  bci challenge.
Multi-modal Pathological Pre-training via Masked Autoencoders for Breast Cancer Diagnosis,"breast cancer immunohistochemical image generation challenge  breast cancer (bc) is one of the most common malignant tumors in women worldwide and it causes nearly 0.7 million deaths in 2020  recently, with the development of transformer, multi-modal pre-training has achieved great success in the fields of computer vision (cv) and natural language processing (nlp)."
Multi-modal Pathological Pre-training via Masked Autoencoders for Breast Cancer Diagnosis,breast cancer immunohistochemical image generation challenge 
Semi-supervised Pathological Image Segmentation via Cross Distillation of Multiple Attentions,none
Towards Novel Class Discovery: A Study in Novel Skin Lesions Clustering,"automatic identification of lesions from dermoscopic images is of great importance for the diagnosis of skin cancer  one approach to address the above problem is novel class discovery (ncd)  in this paper, we propose a new novel class discovery framework to automatically discover novel disease categories."
Towards Novel Class Discovery: A Study in Novel Skin Lesions Clustering,"specifically, we first use contrastive learning to pretrain the model based on all data from known and unknown categories to learn a robust and general semantic feature representation."
Pathology-and-Genomics Multimodal Transformer for Survival Outcome Prediction,"cancers are a group of heterogeneous diseases reflecting deep interactions between pathological and genomics variants in tumor tissue environments  the major goal of multimodal data learning is to extract complementary contextual information across modalities  to tackle above challenges, we propose a pathology-and-genomics multimodal framework (i.e., pathomics) for survival prediction (fig."
Pathology-and-Genomics Multimodal Transformer for Survival Outcome Prediction,datasets.
Pathology-and-Genomics Multimodal Transformer for Survival Outcome Prediction,"importantly, our approach opens up perspectives for exploring the key insights of intrinsic genotypephenotype interactions in complex cancer data across modalities."
Pathology-and-Genomics Multimodal Transformer for Survival Outcome Prediction,"our finetuning cancers are a group of heterogeneous diseases reflecting deep interactions between pathological and genomics variants in tumor tissue environments  the major goal of multimodal data learning is to extract complementary contextual information across modalities  to tackle above challenges, we propose a pathology-and-genomics multimodal framework (i.e., pathomics) for survival prediction (fig."
Robust Cervical Abnormal Cell Detection via Distillation from Local-Scale Consistency Refinement,cervical cancer is the second most common cancer among adult women.
Robust Cervical Abnormal Cell Detection via Distillation from Local-Scale Consistency Refinement,"if diagnosed early, it can be effectively treated and cured  with the development of deep learning  although the above-mentioned attempts can improve the screening performance significantly, there are several issues that need to be addressed: 1) object detection methods often require accurate annotated data to guarantee performance with robustness and generalization."
Robust Cervical Abnormal Cell Detection via Distillation from Local-Scale Consistency Refinement,"however, due to legal limitations, the scarcity of positive samples, and especially the subjectivity differences between cytopathologists for manual annotations  to address these issues, we propose a novel method for cervical abnormal cell detection using distillation from local-scale consistency refinement."
Robust Cervical Abnormal Cell Detection via Distillation from Local-Scale Consistency Refinement,"inspired by knowledge distillation, we construct a pre-trained patch correction network (pcn), which is designed to exploit the supervised information from the pcn to reduce the impact of noisy labels and utilize the contextual relationships between cells."
Robust Cervical Abnormal Cell Detection via Distillation from Local-Scale Consistency Refinement,"in our approach, we begin by utilizing retinanet  cervical cancer is the second most common cancer among adult women."
MixUp-MIL: Novel Data Augmentation for Multiple Instance Learning and a Study on Thyroid Cancer Diagnosis,"the considered dual-stream approach, including an embedding and instance-based stream, exhibited slightly improved average scores, compared to embedding-based mil only."
MixUp-MIL: Novel Data Augmentation for Multiple Instance Learning and a Study on Thyroid Cancer Diagnosis,"in our analysis, we focused on the embedding-based configuration and on the balanced combined approach (referred to as 2/2)."
MixUp-MIL: Novel Data Augmentation for Multiple Instance Learning and a Study on Thyroid Cancer Diagnosis,"with the baseline data augmentation approaches, the maximum improvements were 0.03, and 0.02 for the frozen, and 0.01, and 0.05 for the paraffin data set."
Transfer Learning-Assisted Survival Analysis of Breast Cancer Relying on the Spatial Interaction Between Tumor-Infiltrating Lymphocytes and Tumors,"breast cancer (bc) is the most common cancer diagnosed among females and the second leading cause of cancer death among women after lung cancer  among different types of imaging biomarkers, histopathological images are generally considered the golden standard for bc prognosis since they can confer important cell-level information that can reflect the aggressiveness of bc  to deal with the above challenges, several researchers began to design domain adaption algorithms, which utilize the labeled data from a related cancer subtype to help predict the patients' survival in the target domain."
Transfer Learning-Assisted Survival Analysis of Breast Cancer Relying on the Spatial Interaction Between Tumor-Infiltrating Lymphocytes and Tumors,"specifically, alirezazadeh et al  although much progress has been achieved, most of the existing studies applied the feature alignment strategy to reduce the distribution difference between source and target domains."
Gene-Induced Multimodal Pre-training for Image-Omic Classification,none
Histopathology Image Classification Using Deep Manifold Contrastive Learning,we tested our proposed method on two different tasks: (1) intrahepatic cholangiocarcinomas(ihccs) subtype classification and (2) liver cancer type classification.
Histopathology Image Classification Using Deep Manifold Contrastive Learning,the dataset for the former task was collected from 168 patients with 332 wsis from seoul national university hospital.
Histopathology Image Classification Using Deep Manifold Contrastive Learning,ihccs can be further categorized into small duct type (sdt) and large duct type (ldt).
Histopathology Image Classification Using Deep Manifold Contrastive Learning,"in the deep manifold embedding learning model, the learning rates were set to 1e-4 with a decay rate of 1e-6 for the ihccs subtype classification and to 1e-5 with a decay rate of 1e-8 for the liver cancer type classification."
Histopathology Image Classification Using Deep Manifold Contrastive Learning,"the k-nearest neighbors graph and the geodesic distance matrix are updated once every five training epochs, which is empirically chosen to balance running time and accuracy."
Histopathology Image Classification Using Deep Manifold Contrastive Learning,"to train the mil classifier, we set the learning rate to 1e-3 and the decay rate to 1e-6."
Deep Learning for Tumor-Associated Stroma Identification in Prostate Histopathology Slides,"additionally, the presence of tumor heterogeneity and the varied distribution of tumor foci can further complicate the labeling process."
Deep Learning for Tumor-Associated Stroma Identification in Prostate Histopathology Slides,"to address this issue, we propose applying neighbor consistency regularization (ncr)  where d kl is the kl-divergence loss to quantify the discrepancy between two probability distributions, t represents the temperature and nn k (v i ) is the set of k nearest neighbors of v i in the feature space."
Deep Learning for Tumor-Associated Stroma Identification in Prostate Histopathology Slides,"biopsy and whole-mount slides provide complementary multi-modal information on the tumor microenvironment, and combining them can provide a more comprehensive understanding of tumor-associated stroma."
Deep Learning for Tumor-Associated Stroma Identification in Prostate Histopathology Slides,"for instance, a model trained on whole-mount slides only may not generalize well to biopsy slides due to systematic shifts, hindering model performance in the clinical application scenario."
Deep Learning for Tumor-Associated Stroma Identification in Prostate Histopathology Slides,"to address the above issues, we propose an adversarial multi-modal learning (aml) module to force the feature extractor to produce multimodal-invariant representations on multiple source images."
Deep Learning for Tumor-Associated Stroma Identification in Prostate Histopathology Slides,"specifically, we incorporate a source discriminator adversarial neural network as auxiliary classifier."
Deep Learning for Tumor-Associated Stroma Identification in Prostate Histopathology Slides,"the stroma classifier and source discriminator are trained simultaneously, aiming to effectively classify tumor-associated stroma while impeding accurate source prediction by the discriminator."
Deep Learning for Tumor-Associated Stroma Identification in Prostate Histopathology Slides,"the optimization process aims to achieve a balance between these two goals, resulting in an embedding space that encodes as much information as possible about tumor-associated stroma identification while not encoding any information on the data source."
Deep Learning for Tumor-Associated Stroma Identification in Prostate Histopathology Slides,"by adopting the adversarial learning strategy, our model can maintain the correlated information and shared characteristics between two modalities, which will enhance the model's generalization and robustness."
Multi-scope Analysis Driven Hierarchical Graph Transformer for Whole Slide Image Based Cancer Survival Prediction,none
Mining Negative Temporal Contexts for False Positive Suppression in Real-Time Ultrasound Lesion Detection,deep learning has recently emerged as a promising approach for ultrasound lesion detection.
Mining Negative Temporal Contexts for False Positive Suppression in Real-Time Ultrasound Lesion Detection,"while previous works focused on lesion detection in still images  previous general-purpose detectors  to address this issue, we propose a novel ultradet model to leverage ntc."
Mining Negative Temporal Contexts for False Positive Suppression in Real-Time Ultrasound Lesion Detection,"for each region of interest (roi) r proposed by a basic detector, we extract temporal contexts from previous frames."
Mining Negative Temporal Contexts for False Positive Suppression in Real-Time Ultrasound Lesion Detection,our contributions are four-fold.
Mining Negative Temporal Contexts for False Positive Suppression in Real-Time Ultrasound Lesion Detection,"in this paper, we address the clinical challenge of real-time ultrasound lesion detection."
Mining Negative Temporal Contexts for False Positive Suppression in Real-Time Ultrasound Lesion Detection,"we propose a novel negative temporal context aggregation (ntca) module, imitating radiologists' diagnosis processes to suppress fps."
Iteratively Coupled Multiple Instance Learning from Instance to Bag Classifier for Whole Slide Image Classification,"our experiments utilized two datasets, with the first being the publicly available breast cancer dataset, camelyon16  the second dataset is a private hepatocellular carcinoma (hcc) dataset collected from sir run run shaw hospital, hangzhou, china."
Iteratively Coupled Multiple Instance Learning from Instance to Bag Classifier for Whole Slide Image Classification,"this dataset comprises a total of 1140 valid tumor wsis scanned at 40× magnification, and the objective is to identify the severity of each case based on the edmondson-steiner (es) grading."
Artifact Restoration in Histology Images with Diffusion Probabilistic Models,histology is critical for accurately diagnosing all cancers in modern medical imaging analysis.
Artifact Restoration in Histology Images with Diffusion Probabilistic Models,"however, the complex scanning procedure for histological wholeslide images (wsis) digitization may result in the alteration of tissue structures, due to improper removal, fixation, tissue processing, embedding, and storage  in real clinical practice, rescanning the wsis that contain artifacts can partially address this issue."
Artifact Restoration in Histology Images with Diffusion Probabilistic Models,"however, it may require multiple attempts before obtaining a satisfactory wsi, which can lead to a waste of time, medical resources, and deplete tissue samples."
Mammo-Net: Integrating Gaze Supervision and Interactive Information in Multi-view Mammogram Classification,breast cancer is the most prevalent form of cancer among women and can have serious physical and mental health consequences if left unchecked  deep neural networks have been widely adopted for breast cancer diagnosis to alleviate the workload of radiologists.
Mammo-Net: Integrating Gaze Supervision and Interactive Information in Multi-view Mammogram Classification,"however, these models often require a large number of manual annotations and lack interpretability, which can prevent their broader applications in breast cancer diagnosis."
Probabilistic Modeling Ensemble Vision Transformer Improves Complex Polyp Segmentation,"colorectal cancer (crc) remains a major health burden with elevated mortality worldwide  traditional machine learning approaches in polyp segmentation primarily focus on learning low-level features, such as texture, shape, or color distribution  despite significant progress made by these binary mask supervised models, challenges remain in accurately locating polyps, particularly in complex clinical scenarios, due to their insensitivity to complex lesions and high false-positive rates."
Probabilistic Modeling Ensemble Vision Transformer Improves Complex Polyp Segmentation,"more specifically, most polyps have an elliptical shape with well-defined boundaries."
Probabilistic Modeling Ensemble Vision Transformer Improves Complex Polyp Segmentation,"to address these limitations, qadir et al."
Probabilistic Modeling Ensemble Vision Transformer Improves Complex Polyp Segmentation,"therefore, the primary challenge lies in enhancing polyp segmentation performance in complex scenarios by precisely preserving the polyp segmentation boundaries, while simultaneously maximizing the decoder's attention on the overall pattern of the polyps."
Probabilistic Modeling Ensemble Vision Transformer Improves Complex Polyp Segmentation,"in this paper, we propose a novel transformer-based polyp segmentation framework, petnet, which addresses the aforementioned challenges and achieves sota performance in locating polyps with high precision."
DisAsymNet: Disentanglement of Asymmetrical Abnormality on Bilateral Mammograms Using Self-adversarial Learning,"breast cancer (bc) is the most common cancer in women and incidence is increasing  authenticated by the bi-rads lexicon  the question of ""what the bi-mg would look like if they were symmetric?"" is often considered when radiologists determine the symmetry of bi-mg."
DisAsymNet: Disentanglement of Asymmetrical Abnormality on Bilateral Mammograms Using Self-adversarial Learning,it can provide valuable diagnostic information and guide the model in learning the diagnostic process akin to that of a human radiologist.
DisAsymNet: Disentanglement of Asymmetrical Abnormality on Bilateral Mammograms Using Self-adversarial Learning,"to  to alleviate the lack of annotation pixel-wise asymmetry annotations, in this study, we propose a random synthesis method to supervise disentanglement."
DisAsymNet: Disentanglement of Asymmetrical Abnormality on Bilateral Mammograms Using Self-adversarial Learning,"training with synthetic artifacts is a low-cost but efficient way to supervise the model to better reconstruct images  the alpha weights α k is a 2d gaussian distribution map, in which the co-variance is determined by the size of k-th tumor t, representing the transparency of the pixels of the tumor."
DisAsymNet: Disentanglement of Asymmetrical Abnormality on Bilateral Mammograms Using Self-adversarial Learning,some examples are shown in fig.
Segmentation of Kidney Tumors on Non-Contrast CT Images Using Protuberance Detection Network,"over 430,000 new cases of renal cancer were reported in 2020 in the world  segmentation of kidney tumors on ncct images adds challenges compared to contrast-enhanced ct (cect) images, due to low contrast and lack of multiphase images."
Segmentation of Kidney Tumors on Non-Contrast CT Images Using Protuberance Detection Network,"on cect images, the kidney tumors have different intensity values compared to the normal tissues."
Segmentation of Kidney Tumors on Non-Contrast CT Images Using Protuberance Detection Network,verify that the proposed framework achieves a higher dice score compared to the standard 3d u-net using a publicly available dataset.
Segmentation of Kidney Tumors on Non-Contrast CT Images Using Protuberance Detection Network,"the release of two public ct image datasets with kidney and tumor masks from the 2019/2021 kidney and kidney tumor segmentation challenge  looking at the top 3 teams from each challenge  in terms of focusing on protruded regions in kidneys, our work is close to  the second protuberance detection network is the same as the base network except it starts from 8 channels instead of 16."
Segmentation of Kidney Tumors on Non-Contrast CT Images Using Protuberance Detection Network,we train this network using synthetic datasets.
Segmentation of Kidney Tumors on Non-Contrast CT Images Using Protuberance Detection Network,"thus, when the output of the protuberance detection network is concatenated with the output of the base network, the fusion network can easily reduce the loss by ignoring the protuberance detection network's output, which is suboptimal."
Segmentation of Kidney Tumors on Non-Contrast CT Images Using Protuberance Detection Network,"to avoid this issue, we perform summation not concatenation to avoid the model from ignoring all output from the protuberance detection network."
Segmentation of Kidney Tumors on Non-Contrast CT Images Using Protuberance Detection Network,we then clip the value of the mask to the range of 0 and 1.
Skin Lesion Correspondence Localization in Total Body Photography,none
Bridging Ex-Vivo Training and Intra-operative Deployment for Surgical Margin Assessment with Evidential Graph Transformer,"then, the expected probability for the c-th class p c and the total uncertainty u for each sample (x i ) can be calculated as p c = αc s , and u = c s , respectively, where s = c c=1 α c ."
Bridging Ex-Vivo Training and Intra-operative Deployment for Surgical Margin Assessment with Evidential Graph Transformer,"to fit the dirichlet distribution to the output layer of our network, we use a loss function consisting of the prediction error l p i and the evidence adjustment where λ is the annealing coefficient to balance the two terms."
Bridging Ex-Vivo Training and Intra-operative Deployment for Surgical Margin Assessment with Evidential Graph Transformer,"l p i can be crossentropy, negative log-likelihood, or mean square error , while l e i (θ) is kl divergence to the uniform dirichlet distribution  the performance of the proposed network is compared with 3 baseline models including gtn, graph convolution network  clinical relevance: hormone receptor status plays an important role in determining breast cancer prognosis and tailoring treatment plans for patients  intra-operative deployment of deep learning solutions requires a measure of interpretability as well as predictive confidence."
Synthesis of Contrast-Enhanced Breast MRI Using T1- and Multi-b-Value DWI-Based Hierarchical Fusion Network with Attention Mechanism,"breast cancer is the most common cancer and the leading cause of cancer death in women  with the development of computer technology, artificial intelligence-based methods have shown potential in image generation and have received extensive attention."
Synthesis of Contrast-Enhanced Breast MRI Using T1- and Multi-b-Value DWI-Based Hierarchical Fusion Network with Attention Mechanism,"some studies have shown that some generative models can effectively perform mutual synthesis between mr, ct, and pet  diffusion-weighted imaging (dwi) is emerging as a key imaging technique to complement breast ce-mri  i from the perspective of method, we innovatively proposed a multi-sequence fusion model, designed for combining t1-weighted imaging and multi-b-value dwi to synthesize ce-mri for the first time."
Synthesis of Contrast-Enhanced Breast MRI Using T1- and Multi-b-Value DWI-Based Hierarchical Fusion Network with Attention Mechanism,"the mris were acquired with philips ingenia all mris were resampled to 1 mm isotropic voxels and uniformly sized, resulting in volumes of 352 × 352 pixel images with 176 slices per mri, and subsequent registration was performed based on advanced normalization tools (ants)  we have developed a multi-sequence fusion network based on multi-b-value dwi to synthesize ce-mri, using source data including dwis and t1-weighted fatsuppressed mri."
Synthesis of Contrast-Enhanced Breast MRI Using T1- and Multi-b-Value DWI-Based Hierarchical Fusion Network with Attention Mechanism,"compared to existing methods, we avoid the challenges of using full-sequence mri and aim to be selective on valuable source data dwi."
Synthesis of Contrast-Enhanced Breast MRI Using T1- and Multi-b-Value DWI-Based Hierarchical Fusion Network with Attention Mechanism,"hierarchical fusion generation module, weighted difference module, and multisequence attention module have all been shown to improve the performance of synthesizing target images by addressing the problems of synthesis at different scales, leveraging differentiable information within and across sequences."
Clinical Evaluation of AI-Assisted Virtual Contrast Enhanced MRI in Primary Gross Tumor Volume Delineation for Radiotherapy of Nasopharyngeal Carcinoma,none
Automated CT Lung Cancer Screening Workflow Using 3D Camera,none
Multi-task Learning of Histology and Molecular Markers for Classifying Diffuse Glioma,none
Second-Course Esophageal Gross Tumor Volume Segmentation in CT with Prior Anatomical and Radiotherapy Information,"to achieve this, we efficiently exploit knowledge from multi-center datasets that are not tailored for second-course gtv segmentation."
Second-Course Esophageal Gross Tumor Volume Segmentation in CT with Prior Anatomical and Radiotherapy Information,"our training strategy does not specific to any tasks but challenges the network to retrieve information from another encoder with augmented inputs, which enables the network to learn from the above three aspects."
Second-Course Esophageal Gross Tumor Volume Segmentation in CT with Prior Anatomical and Radiotherapy Information,extensive quantitative and qualitative experiments validate our designs.
Second-Course Esophageal Gross Tumor Volume Segmentation in CT with Prior Anatomical and Radiotherapy Information,"s v lacks its counterpart for the second course, in which i v /g v are the ct image and the corresponding annotation for gtv."
Second-Course Esophageal Gross Tumor Volume Segmentation in CT with Prior Anatomical and Radiotherapy Information,"to address this, we apply two distinct randomized augmentations, p 1 , p 2 , to mimic the unregistered issue of the first and second course ct."
