,title,extracted_dataset_sent,
266,IIB-MIL: Integrated Instance-Level and Bag-Level Multiple Instances Learning with Label Disambiguation for Pathological Image Analysis,"(1) luad-gm dataset: the objective is to predict the epidermal growth factor
receptor (egfr) gene mutations in patients with lung adenocarcinoma (luad) using
723 whole slide image (wsi) slices, where 47% of cases have egfr mutations.",
267,IIB-MIL: Integrated Instance-Level and Bag-Level Multiple Instances Learning with Label Disambiguation for Pathological Image Analysis,"(2) tcga-nsclc and tcga-rcc datasets: cancer type classification is performed
using the cancer genome atlas (tcga) dataset.",
268,IIB-MIL: Integrated Instance-Level and Bag-Level Multiple Instances Learning with Label Disambiguation for Pathological Image Analysis,"the tcga-nsclc dataset comprised two subtypes, lung squamous cell carcinoma
(lusc) and lung adenocarcinoma (luad), while the tcga-rcc dataset included three
subtypes: renal chromophobe cell carcinoma (kich), renal clear cell carcinoma
(kirc), and renal papillary cell carcinoma (kirp).",
269,Multi-scale Prototypical Transformer for Whole Slide Image Classification,none,
270,Thyroid Nodule Diagnosis in Dynamic Contrast-Enhanced Ultrasound via Microvessel Infiltration Awareness,none,
271,Triangular Analysis of Geographical Interplay of Lymphocytes (TriAnGIL): Predicting Immunotherapy Response in Lung Cancer,none,
272,NASDM: Nuclei-Aware Semantic Histopathology Image Generation Using Diffusion Models,none,
273,DiffDP: Radiotherapy Dose Prediction via a Diffusion Model,"overall, the contributions of this paper can be concluded as follows: dataset
and evaluations.",
274,DiffDP: Radiotherapy Dose Prediction via a Diffusion Model,"we measure the performance of our model on an in-house rectum cancer dataset
which contains 130 patients who underwent volumetric modulated arc therapy
(vmat) treatment at west china hospital.",
275,DiffDP: Radiotherapy Dose Prediction via a Diffusion Model,"extensive experiments on an in-house dataset with 130 rectum cancer patients
demonstrate the superiority of our method.",
276,DiffDP: Radiotherapy Dose Prediction via a Diffusion Model,"overall, the contributions of this paper can be concluded as follows: dataset
and evaluations.",
277,DiffDP: Radiotherapy Dose Prediction via a Diffusion Model,"we measure the performance of our model on an in-house rectum cancer dataset
which contains 130 patients who underwent volumetric modulated arc therapy
(vmat) treatment at west china hospital.",
278,DiffDP: Radiotherapy Dose Prediction via a Diffusion Model,"extensive experiments on an in-house dataset with 130 rectum cancer patients
demonstrate the superiority of our method.",
279,Position-Aware Masked Autoencoder for Histopathology WSI Representation Learning,"the proposed approach was evaluated on a public tcga-lung dataset and an
in-house endometrial dataset and compared with 6 state-of-the-art methods.",
280,Position-Aware Masked Autoencoder for Histopathology WSI Representation Learning,tcga-lung dataset is collected from the cancer genome atlas (tcga) data portal.,
281,Position-Aware Masked Autoencoder for Histopathology WSI Representation Learning,"the dataset includes a total of 3,064 wsis, which consist of three categories,
namely tumor-free (normal), lung adenocarcinoma (luad), and lung squamous cancer
(lusc), endometrial dataset includes 3,654 wsis of endometrial pathology, which
includes 8 categories, namely well/moderately/low-differentiated endometrioid
adenocarcinoma, squamous differentiation carcinoma, plasmacytoid carcinoma,
clear cell carcinoma, mixed-cell adenocarcinoma, and benign tumor.",
282,Position-Aware Masked Autoencoder for Histopathology WSI Representation Learning,"each dataset was randomly divided into training, validation and test sets
according to 6:1:3 while keeping each category of data proportionally.",
283,Position-Aware Masked Autoencoder for Histopathology WSI Representation Learning,we conducted wsi multi-type classification experiments on the two datasets.,
284,Position-Aware Masked Autoencoder for Histopathology WSI Representation Learning,"the proposed approach was evaluated on a public tcga-lung dataset and an
in-house endometrial dataset and compared with 6 state-of-the-art methods.",
285,Position-Aware Masked Autoencoder for Histopathology WSI Representation Learning,tcga-lung dataset is collected from the cancer genome atlas (tcga) data portal.,
286,Position-Aware Masked Autoencoder for Histopathology WSI Representation Learning,"the dataset includes a total of 3,064 wsis, which consist of three categories,
namely tumor-free (normal), lung adenocarcinoma (luad), and lung squamous cancer
(lusc), endometrial dataset includes 3,654 wsis of endometrial pathology, which
includes 8 categories, namely well/moderately/low-differentiated endometrioid
adenocarcinoma, squamous differentiation carcinoma, plasmacytoid carcinoma,
clear cell carcinoma, mixed-cell adenocarcinoma, and benign tumor.",
287,Position-Aware Masked Autoencoder for Histopathology WSI Representation Learning,"each dataset was randomly divided into training, validation and test sets
according to 6:1:3 while keeping each category of data proportionally.",
288,Position-Aware Masked Autoencoder for Histopathology WSI Representation Learning,we conducted wsi multi-type classification experiments on the two datasets.,
289,Detection-Free Pipeline for Cervical Cancer Screening of Whole Slide Images,"first, they are not able to get rid of their reliance on detection models, which
means they have a high need for expensive detection data labeling to train the
detection model.",
290,Detection-Free Pipeline for Cervical Cancer Screening of Whole Slide Images,"cervical cancer cell detection datasets involve labeling individual and small
bounding boxes in a large number of cells.",
291,Detection-Free Pipeline for Cervical Cancer Screening of Whole Slide Images,dataset and experimental setup.,
292,Detection-Free Pipeline for Cervical Cancer Screening of Whole Slide Images,"first, we label a dataset with cell-level bounding boxes to train a detection
model.",
293,Detection-Free Pipeline for Cervical Cancer Screening of Whole Slide Images,the detection dataset has 3761 images and 7623 cell-level annotations.,
294,Detection-Free Pipeline for Cervical Cancer Screening of Whole Slide Images,"first, they are not able to get rid of their reliance on detection models, which
means they have a high need for expensive detection data labeling to train the
detection model.",
295,Detection-Free Pipeline for Cervical Cancer Screening of Whole Slide Images,"cervical cancer cell detection datasets involve labeling individual and small
bounding boxes in a large number of cells.",
296,Detection-Free Pipeline for Cervical Cancer Screening of Whole Slide Images,dataset and experimental setup.,
297,Detection-Free Pipeline for Cervical Cancer Screening of Whole Slide Images,"first, we label a dataset with cell-level bounding boxes to train a detection
model.",
298,Detection-Free Pipeline for Cervical Cancer Screening of Whole Slide Images,the detection dataset has 3761 images and 7623 cell-level annotations.,
299,Instance-Aware Diffusion Model for Gland Segmentation in Colon Histology Images,"our proposed method was trained and tested on the 2015 mic-cai gland
segmentation (glas) challenge dataset colorectal cancer is a prevalent form of
cancer characterized by colorectal adenocarcinoma, which develops in the colon
or rectum's inner lining and exhibits glandular structures recently, diffusion
model in this paper, we propose a new method for gland instance segmentation
based on the diffusion model.",
300,Instance-Aware Diffusion Model for Gland Segmentation in Colon Histology Images,"our proposed method was trained and tested on the 2015 mic-cai gland
segmentation (glas) challenge dataset",
301,Adaptive Supervised PatchNCE Loss for Learning H&E-to-IHC Stain Translation with Inconsistent Groundtruth Image Pairs,"our formulation of this loss was inspired by the recent research findings that
contrastive loss benefits model robustness under label noise lastly, to support
further research in virtual ihc-restaining, we present the multi-ihc stain
translation (mist) as a new public dataset.",
302,Adaptive Supervised PatchNCE Loss for Learning H&E-to-IHC Stain Translation with Inconsistent Groundtruth Image Pairs,"the mist dataset contains 4k+ training and 1k testing aligned h&e-ihc patches
for each of the following ihc stains that are critical for breast cancer
diagnostics: her2, ki67, er (estrogen receptor) and pr (progesterone receptor).",
303,Adaptive Supervised PatchNCE Loss for Learning H&E-to-IHC Stain Translation with Inconsistent Groundtruth Image Pairs,datasets.,
304,Adaptive Supervised PatchNCE Loss for Learning H&E-to-IHC Stain Translation with Inconsistent Groundtruth Image Pairs,"the following datasets are used in our experiments: the breast cancer
immunohistochemical (bci) challenge dataset implementation details.",
305,Adaptive Supervised PatchNCE Loss for Learning H&E-to-IHC Stain Translation with Inconsistent Groundtruth Image Pairs,"our formulation of this loss was inspired by the recent research findings that
contrastive loss benefits model robustness under label noise lastly, to support
further research in virtual ihc-restaining, we present the multi-ihc stain
translation (mist) as a new public dataset.",
306,Adaptive Supervised PatchNCE Loss for Learning H&E-to-IHC Stain Translation with Inconsistent Groundtruth Image Pairs,"the mist dataset contains 4k+ training and 1k testing aligned h&e-ihc patches
for each of the following ihc stains that are critical for breast cancer
diagnostics: her2, ki67, er (estrogen receptor) and pr (progesterone receptor).",
307,Adaptive Supervised PatchNCE Loss for Learning H&E-to-IHC Stain Translation with Inconsistent Groundtruth Image Pairs,datasets.,
308,Adaptive Supervised PatchNCE Loss for Learning H&E-to-IHC Stain Translation with Inconsistent Groundtruth Image Pairs,"the following datasets are used in our experiments: the breast cancer
immunohistochemical (bci) challenge dataset implementation details.",
309,HIGT: Hierarchical Interaction Graph-Transformer for Whole Slide Image Analysis,"the extensive experiments with promising results on two public wsi datasets from
tcga projects, i.e., kidney carcinoma (kica) and esophageal carcinoma (esca),
validate the effectiveness and efficiency of our framework on both tumor
subtyping and staging tasks.",
310,HIGT: Hierarchical Interaction Graph-Transformer for Whole Slide Image Analysis,datasets and evaluation metrics.,
311,HIGT: Hierarchical Interaction Graph-Transformer for Whole Slide Image Analysis,"we assess the efficacy of the proposed higt framework by testing it on two
publicly available datasets (kica and esca) from the cancer genome atlas (tcga)
repository.",
312,HIGT: Hierarchical Interaction Graph-Transformer for Whole Slide Image Analysis,the datasets are described below in more detail: -kica dataset.,
313,HIGT: Hierarchical Interaction Graph-Transformer for Whole Slide Image Analysis,"the kica dataset consists of 371 cases of kidney carcinoma, of which 279 are
classified as early-stage and 92 as late-stage.",
314,HIGT: Hierarchical Interaction Graph-Transformer for Whole Slide Image Analysis,-esca dataset.,
315,HIGT: Hierarchical Interaction Graph-Transformer for Whole Slide Image Analysis,"the esca dataset comprises 161 cases of esophageal carcinoma, with 96 cases
classified as early-stage and 65 as late-stage.",
316,HIGT: Hierarchical Interaction Graph-Transformer for Whole Slide Image Analysis,"the extensive experiments with promising results on two public wsi datasets from
tcga projects, i.e., kidney carcinoma (kica) and esophageal carcinoma (esca),
validate the effectiveness and efficiency of our framework on both tumor
subtyping and staging tasks.",
317,HIGT: Hierarchical Interaction Graph-Transformer for Whole Slide Image Analysis,datasets and evaluation metrics.,
318,HIGT: Hierarchical Interaction Graph-Transformer for Whole Slide Image Analysis,"we assess the efficacy of the proposed higt framework by testing it on two
publicly available datasets (kica and esca) from the cancer genome atlas (tcga)
repository.",
319,HIGT: Hierarchical Interaction Graph-Transformer for Whole Slide Image Analysis,the datasets are described below in more detail: -kica dataset.,
320,HIGT: Hierarchical Interaction Graph-Transformer for Whole Slide Image Analysis,"the kica dataset consists of 371 cases of kidney carcinoma, of which 279 are
classified as early-stage and 92 as late-stage.",
321,HIGT: Hierarchical Interaction Graph-Transformer for Whole Slide Image Analysis,-esca dataset.,
322,HIGT: Hierarchical Interaction Graph-Transformer for Whole Slide Image Analysis,"the esca dataset comprises 161 cases of esophageal carcinoma, with 96 cases
classified as early-stage and 65 as late-stage.",
323,MPBD-LSTM: A Predictive Model for Colorectal Liver Metastases Using Time Series Multi-phase Contrast-Enhanced CT Scans,"colorectal cancer is the third most common malignant tumor, and nearly half of
all patients with colorectal cancer develop liver metastasis during the course
of the disease extensive existing works have demonstrated the power of deep
learning on various spatial-temporal data, and can potentially be applied
towards the problem of crlm.",
324,MPBD-LSTM: A Predictive Model for Colorectal Liver Metastases Using Time Series Multi-phase Contrast-Enhanced CT Scans,"for example, originally designed for natural data, several mainstream models
such as e3d-lstm however, all these methods have only demonstrated their
effectiveness towards 3d/4d data (i.e., time-series 2d/3d images), and it is not
clear how to best extend them to work with the 5d cect data.",
325,MPBD-LSTM: A Predictive Model for Colorectal Liver Metastases Using Time Series Multi-phase Contrast-Enhanced CT Scans,part of the reason is due to the lack of public availability of such data.,
326,MPBD-LSTM: A Predictive Model for Colorectal Liver Metastases Using Time Series Multi-phase Contrast-Enhanced CT Scans,"when extending these models towards 5d cect data, some decisions need to be
made, for example: 1) what is the most effective way to incorporate the phase
information?",
327,MPBD-LSTM: A Predictive Model for Colorectal Liver Metastases Using Time Series Multi-phase Contrast-Enhanced CT Scans,"e3d-lstm in this paper, we investigate how state-of-art deep learning models can
be applied to the crlm prediction task using our 5d cect dataset.",
328,MPBD-LSTM: A Predictive Model for Colorectal Liver Metastases Using Time Series Multi-phase Contrast-Enhanced CT Scans,"we evaluate the effectiveness of bi-directional lstm and explore the possible
method of incorporating different phases in the cect dataset.",
329,MPBD-LSTM: A Predictive Model for Colorectal Liver Metastases Using Time Series Multi-phase Contrast-Enhanced CT Scans,"specifically, we show that the best prediction accuracy can be achieved by
enhancing e3d-lstm our dataset follows specific inclusion criteria: -no tumor
appears on the ct scans.",
330,MPBD-LSTM: A Predictive Model for Colorectal Liver Metastases Using Time Series Multi-phase Contrast-Enhanced CT Scans,"-we already determined whether or not the patients had liver metastases within 2
years after the surgery, and manually labeled the dataset based on this.",
331,MPBD-LSTM: A Predictive Model for Colorectal Liver Metastases Using Time Series Multi-phase Contrast-Enhanced CT Scans,our retrospective dataset includes two cohorts from two hospitals.,
332,MPBD-LSTM: A Predictive Model for Colorectal Liver Metastases Using Time Series Multi-phase Contrast-Enhanced CT Scans,"additional statistics on our dataset are presented in table colorectal cancer is
the third most common malignant tumor, and nearly half of all patients with
colorectal cancer develop liver metastasis during the course of the disease
extensive existing works have demonstrated the power of deep learning on various
spatial-temporal data, and can potentially be applied towards the problem of
crlm.",
333,MPBD-LSTM: A Predictive Model for Colorectal Liver Metastases Using Time Series Multi-phase Contrast-Enhanced CT Scans,"for example, originally designed for natural data, several mainstream models
such as e3d-lstm however, all these methods have only demonstrated their
effectiveness towards 3d/4d data (i.e., time-series 2d/3d images), and it is not
clear how to best extend them to work with the 5d cect data.",
334,MPBD-LSTM: A Predictive Model for Colorectal Liver Metastases Using Time Series Multi-phase Contrast-Enhanced CT Scans,part of the reason is due to the lack of public availability of such data.,
335,MPBD-LSTM: A Predictive Model for Colorectal Liver Metastases Using Time Series Multi-phase Contrast-Enhanced CT Scans,"when extending these models towards 5d cect data, some decisions need to be
made, for example: 1) what is the most effective way to incorporate the phase
information?",
336,MPBD-LSTM: A Predictive Model for Colorectal Liver Metastases Using Time Series Multi-phase Contrast-Enhanced CT Scans,"e3d-lstm in this paper, we investigate how state-of-art deep learning models can
be applied to the crlm prediction task using our 5d cect dataset.",
337,MPBD-LSTM: A Predictive Model for Colorectal Liver Metastases Using Time Series Multi-phase Contrast-Enhanced CT Scans,"we evaluate the effectiveness of bi-directional lstm and explore the possible
method of incorporating different phases in the cect dataset.",
338,MPBD-LSTM: A Predictive Model for Colorectal Liver Metastases Using Time Series Multi-phase Contrast-Enhanced CT Scans,"specifically, we show that the best prediction accuracy can be achieved by
enhancing e3d-lstm our dataset follows specific inclusion criteria: -no tumor
appears on the ct scans.",
339,MPBD-LSTM: A Predictive Model for Colorectal Liver Metastases Using Time Series Multi-phase Contrast-Enhanced CT Scans,"-we already determined whether or not the patients had liver metastases within 2
years after the surgery, and manually labeled the dataset based on this.",
340,MPBD-LSTM: A Predictive Model for Colorectal Liver Metastases Using Time Series Multi-phase Contrast-Enhanced CT Scans,our retrospective dataset includes two cohorts from two hospitals.,
341,MPBD-LSTM: A Predictive Model for Colorectal Liver Metastases Using Time Series Multi-phase Contrast-Enhanced CT Scans,additional statistics on our dataset are presented in table,
342,Deep Cellular Embeddings: An Explainable Plug and Play Improvement for Feature Representation in Histopathology,"for breast cancer metastasis detection in lymph node tissue, we used wsis of
h&estained healthy lymph node tissue and lymph node tissue with breast cancer
metastases from the publicly available camelyon16 challenge data set for cell of
origin (coo) prediction of activated b-cell like (abc) or germinal center b-cell
like (gcb) tumors in diffuse large b-cell lymphoma (dlbcl), we used data from
the phase 3 goya (nct01287741) and phase 2 cavalli (nct02055820) clinical
trials, hereafter referred to as ct1 and ct2, respectively.",
343,Deep Cellular Embeddings: An Explainable Plug and Play Improvement for Feature Representation in Histopathology,"ct1 was used for training and testing the classifier and ct2 was used only as an
independent holdout data set.",
344,Deep Cellular Embeddings: An Explainable Plug and Play Improvement for Feature Representation in Histopathology,"for these data sets we used artifact-free tiles from regions annotated by expert
pathologists to contain tumor tissue.",
345,Deep Cellular Embeddings: An Explainable Plug and Play Improvement for Feature Representation in Histopathology,"examples of our cellular explainability method applied to weakly supervised
tumor detection on wsis from the camelyon16 data set using a-mil are shown in
fig.",
346,Deep Cellular Embeddings: An Explainable Plug and Play Improvement for Feature Representation in Histopathology,"for breast cancer metastasis detection in lymph node tissue, we used wsis of
h&estained healthy lymph node tissue and lymph node tissue with breast cancer
metastases from the publicly available camelyon16 challenge data set for cell of
origin (coo) prediction of activated b-cell like (abc) or germinal center b-cell
like (gcb) tumors in diffuse large b-cell lymphoma (dlbcl), we used data from
the phase 3 goya (nct01287741) and phase 2 cavalli (nct02055820) clinical
trials, hereafter referred to as ct1 and ct2, respectively.",
347,Deep Cellular Embeddings: An Explainable Plug and Play Improvement for Feature Representation in Histopathology,"ct1 was used for training and testing the classifier and ct2 was used only as an
independent holdout data set.",
348,Deep Cellular Embeddings: An Explainable Plug and Play Improvement for Feature Representation in Histopathology,"for these data sets we used artifact-free tiles from regions annotated by expert
pathologists to contain tumor tissue.",
349,Deep Cellular Embeddings: An Explainable Plug and Play Improvement for Feature Representation in Histopathology,"examples of our cellular explainability method applied to weakly supervised
tumor detection on wsis from the camelyon16 data set using a-mil are shown in
fig.",
350,Progressive Attention Guidance for Whole Slide Vulvovaginal Candidiasis Screening,none,
351,CellGAN: Conditional Cervical Cell Synthesis for Augmenting Cytopathological Image Classification,"as the wsi data per sample has a huge size, the idea of identifying abnormal
cells in a hierarchical manner has been proposed and investigated by several
studies using deep learning to alleviate the shortage of sufficient data to
supervise classification, one may adopt traditional data augmentation
techniques, which yet may bring little improvement due to scarcely expanded data
diversity aiming at augmenting the performance of cervical abnormality
screening, we develop a novel conditional generative adversarial network in this
paper, namely cellgan, to synthesize cytopathological images for various cell
types.",
352,CellGAN: Conditional Cervical Cell Synthesis for Augmenting Cytopathological Image Classification,"as the wsi data per sample has a huge size, the idea of identifying abnormal
cells in a hierarchical manner has been proposed and investigated by several
studies using deep learning to alleviate the shortage of sufficient data to
supervise classification, one may adopt traditional data augmentation
techniques, which yet may bring little improvement due to scarcely expanded data
diversity aiming at augmenting the performance of cervical abnormality
screening, we develop a novel conditional generative adversarial network in this
paper, namely cellgan, to synthesize cytopathological images for various cell
types.",
353,An Anti-biased TBSRTC-Category Aware Nuclei Segmentation Framework with a Multi-label Thyroid Cytology Benchmark,none,
354,Multi-modal Pathological Pre-training via Masked Autoencoders for Breast Cancer Diagnosis,"according to the data format, there are two main multi-modal pre-training
approaches, as shown in fig.",
355,Multi-modal Pathological Pre-training via Masked Autoencoders for Breast Cancer Diagnosis,"to our best knowledge, this is the first pre-training work based on multi-modal
pathological data.",
356,Multi-modal Pathological Pre-training via Masked Autoencoders for Breast Cancer Diagnosis,"we evaluate the proposed method on two public datasets as herohe challenge and
bci challenge, which shows that our method achieves state-of-theart performance.",
357,Multi-modal Pathological Pre-training via Masked Autoencoders for Breast Cancer Diagnosis,"according to the data format, there are two main multi-modal pre-training
approaches, as shown in fig.",
358,Multi-modal Pathological Pre-training via Masked Autoencoders for Breast Cancer Diagnosis,"to our best knowledge, this is the first pre-training work based on multi-modal
pathological data.",
359,Multi-modal Pathological Pre-training via Masked Autoencoders for Breast Cancer Diagnosis,"we evaluate the proposed method on two public datasets as herohe challenge and
bci challenge, which shows that our method achieves state-of-theart performance.",
360,Semi-supervised Pathological Image Segmentation via Cross Distillation of Multiple Attentions,"recently, deep learning has achieved remarkable performance in pathological
image segmentation when trained with a large and well-annotated dataset
semi-supervised learning (ssl) is a potential technique to reduce the annotation
cost via learning from a limited number of labeled data along with a large
amount of unlabeled data.",
361,Semi-supervised Pathological Image Segmentation via Cross Distillation of Multiple Attentions,"unlike mc-net+ the contribution of this work is three-fold: 1) a novel framework
named cdma based on mtnet is introduced for semi-supervised pathological image
segmentation, which leverages different attention mechanisms for generating
diverse and complementary predictions for unlabeled images; 2) a cross decoder
knowledge distillation method is proposed for robust and efficient learning from
noisy pseudo labels, which is combined with an average prediction-based
uncertainty minimization to improve the model's performance; 3) experimental
results show that the proposed cdma outperforms eight state-of-the-art ssl
methods on the public digestpath dataset automatic segmentation of tumor lesions
from pathological images plays an important role in accurate diagnosis and
quantitative evaluation of cancers.",
362,Semi-supervised Pathological Image Segmentation via Cross Distillation of Multiple Attentions,"recently, deep learning has achieved remarkable performance in pathological
image segmentation when trained with a large and well-annotated dataset
semi-supervised learning (ssl) is a potential technique to reduce the annotation
cost via learning from a limited number of labeled data along with a large
amount of unlabeled data.",
363,Semi-supervised Pathological Image Segmentation via Cross Distillation of Multiple Attentions,"unlike mc-net+ the contribution of this work is three-fold: 1) a novel framework
named cdma based on mtnet is introduced for semi-supervised pathological image
segmentation, which leverages different attention mechanisms for generating
diverse and complementary predictions for unlabeled images; 2) a cross decoder
knowledge distillation method is proposed for robust and efficient learning from
noisy pseudo labels, which is combined with an average prediction-based
uncertainty minimization to improve the model's performance; 3) experimental
results show that the proposed cdma outperforms eight state-of-the-art ssl
methods on the public digestpath dataset",
364,Towards Novel Class Discovery: A Study in Novel Skin Lesions Clustering,"specifically, we first use contrastive learning to pretrain the model based on
all data from known and unknown categories to learn a robust and general
semantic feature representation.",
365,Towards Novel Class Discovery: A Study in Novel Skin Lesions Clustering,"we conducted extensive experiments on the dermoscopy dataset isic 2019, and the
experimental results show that our method outperforms other state-of-the-art
comparison algorithms by a large margin.",
366,Towards Novel Class Discovery: A Study in Novel Skin Lesions Clustering,"specifically, we first use contrastive learning to pretrain the model based on
all data from known and unknown categories to learn a robust and general
semantic feature representation.",
367,Towards Novel Class Discovery: A Study in Novel Skin Lesions Clustering,"we conducted extensive experiments on the dermoscopy dataset isic 2019, and the
experimental results show that our method outperforms other state-of-the-art
comparison algorithms by a large margin.",
368,Pathology-and-Genomics Multimodal Transformer for Survival Outcome Prediction,"cancers are a group of heterogeneous diseases reflecting deep interactions
between pathological and genomics variants in tumor tissue environments the
major goal of multimodal data learning is to extract complementary contextual
information across modalities to tackle above challenges, we propose a
pathology-and-genomics multimodal framework (i.e., pathomics) for survival
prediction (fig.",
369,Pathology-and-Genomics Multimodal Transformer for Survival Outcome Prediction,datasets.,
370,Pathology-and-Genomics Multimodal Transformer for Survival Outcome Prediction,all image and genomics data are publicly available.,
371,Pathology-and-Genomics Multimodal Transformer for Survival Outcome Prediction,"we collected wsis from the cancer genome atlas colon adenocarcinoma (tcga-coad)
dataset (cc-by-3.0) experimental settings and implementations.",
372,Pathology-and-Genomics Multimodal Transformer for Survival Outcome Prediction,"we implement two types of settings that involve internal and external datasets
for model pretraining and finetuning.",
373,Pathology-and-Genomics Multimodal Transformer for Survival Outcome Prediction,"as shown in fig the number of epochs for pretraining and finetuning are 25, the
batch size is 1, the optimizer is adam developing data-efficient multimodal
learning is crucial to advance the survival assessment of cancer patients in a
variety of clinical data scenarios.",
374,Pathology-and-Genomics Multimodal Transformer for Survival Outcome Prediction,"importantly, our approach opens up perspectives for exploring the key insights
of intrinsic genotypephenotype interactions in complex cancer data across
modalities.",
375,Pathology-and-Genomics Multimodal Transformer for Survival Outcome Prediction,"our finetuning cancers are a group of heterogeneous diseases reflecting deep
interactions between pathological and genomics variants in tumor tissue
environments the major goal of multimodal data learning is to extract
complementary contextual information across modalities to tackle above
challenges, we propose a pathology-and-genomics multimodal framework (i.e.,
pathomics) for survival prediction (fig.",
376,Pathology-and-Genomics Multimodal Transformer for Survival Outcome Prediction,datasets.,
377,Pathology-and-Genomics Multimodal Transformer for Survival Outcome Prediction,all image and genomics data are publicly available.,
378,Pathology-and-Genomics Multimodal Transformer for Survival Outcome Prediction,"we collected wsis from the cancer genome atlas colon adenocarcinoma (tcga-coad)
dataset (cc-by-3.0) experimental settings and implementations.",
379,Pathology-and-Genomics Multimodal Transformer for Survival Outcome Prediction,"we implement two types of settings that involve internal and external datasets
for model pretraining and finetuning.",
380,Pathology-and-Genomics Multimodal Transformer for Survival Outcome Prediction,"as shown in fig the number of epochs for pretraining and finetuning are 25, the
batch size is 1, the optimizer is adam developing data-efficient multimodal
learning is crucial to advance the survival assessment of cancer patients in a
variety of clinical data scenarios.",
381,Pathology-and-Genomics Multimodal Transformer for Survival Outcome Prediction,"importantly, our approach opens up perspectives for exploring the key insights
of intrinsic genotypephenotype interactions in complex cancer data across
modalities.",
382,Robust Cervical Abnormal Cell Detection via Distillation from Local-Scale Consistency Refinement,"if diagnosed early, it can be effectively treated and cured with the development
of deep learning although the above-mentioned attempts can improve the screening
performance significantly, there are several issues that need to be addressed:
1) object detection methods often require accurate annotated data to guarantee
performance with robustness and generalization.",
383,Robust Cervical Abnormal Cell Detection via Distillation from Local-Scale Consistency Refinement,"if diagnosed early, it can be effectively treated and cured with the development
of deep learning although the above-mentioned attempts can improve the screening
performance significantly, there are several issues that need to be addressed:
1) object detection methods often require accurate annotated data to guarantee
performance with robustness and generalization.",
384,MixUp-MIL: Novel Data Augmentation for Multiple Instance Learning and a Study on Thyroid Cancer Diagnosis,"in this work, we proposed and examined novel data augmentation strategies based
on the idea of interpolations of feature vectors in the mil setting.",
385,MixUp-MIL: Novel Data Augmentation for Multiple Instance Learning and a Study on Thyroid Cancer Diagnosis,"with the baseline data augmentation approaches, the maximum improvements were
0.03, and 0.02 for the frozen, and 0.01, and 0.05 for the paraffin data set.",
386,MixUp-MIL: Novel Data Augmentation for Multiple Instance Learning and a Study on Thyroid Cancer Diagnosis,"the multilinear intra-mixup method, however, exhibited the best scores for 3 out
of 4 combinations and the best overall mean accuracy for both, the frozen and
the paraffin data set.",
387,MixUp-MIL: Novel Data Augmentation for Multiple Instance Learning and a Study on Thyroid Cancer Diagnosis,"also a clear trend with increasing scores in the case of an increasing ratio of
augmented data (β) is visible.",
388,MixUp-MIL: Novel Data Augmentation for Multiple Instance Learning and a Study on Thyroid Cancer Diagnosis,"with regard to the different data sets, we noticed a stronger, positive effect
in case of the frozen section data set.",
389,MixUp-MIL: Novel Data Augmentation for Multiple Instance Learning and a Study on Thyroid Cancer Diagnosis,"this is supposed to be due to the clearly higher variability of the frozen
sections corresponding with a need for a higher variability in the training
data.",
390,MixUp-MIL: Novel Data Augmentation for Multiple Instance Learning and a Study on Thyroid Cancer Diagnosis,"we suppose that this is due to the fact that the additional loss of the
dual-stream architecture exhibits a valuable regularization tool to reduce the
amount of needed training data.",
391,MixUp-MIL: Novel Data Augmentation for Multiple Instance Learning and a Study on Thyroid Cancer Diagnosis,"with the proposed intra-mixup augmentation strategy, this effect diminishes,
since the amount and quality of training data is increased.",
392,MixUp-MIL: Novel Data Augmentation for Multiple Instance Learning and a Study on Thyroid Cancer Diagnosis,"to conclude, we proposed novel data augmentation strategies based on the idea of
interpolations of image descriptors in the mil setting.",
393,MixUp-MIL: Novel Data Augmentation for Multiple Instance Learning and a Study on Thyroid Cancer Diagnosis,"in the future, additional experiments will be conducted including stain
normalization methods and larger benchmark data sets to provide further
insights.",
394,MixUp-MIL: Novel Data Augmentation for Multiple Instance Learning and a Study on Thyroid Cancer Diagnosis,"in this work, we proposed and examined novel data augmentation strategies based
on the idea of interpolations of feature vectors in the mil setting.",
395,MixUp-MIL: Novel Data Augmentation for Multiple Instance Learning and a Study on Thyroid Cancer Diagnosis,"with the baseline data augmentation approaches, the maximum improvements were
0.03, and 0.02 for the frozen, and 0.01, and 0.05 for the paraffin data set.",
396,MixUp-MIL: Novel Data Augmentation for Multiple Instance Learning and a Study on Thyroid Cancer Diagnosis,"the multilinear intra-mixup method, however, exhibited the best scores for 3 out
of 4 combinations and the best overall mean accuracy for both, the frozen and
the paraffin data set.",
397,MixUp-MIL: Novel Data Augmentation for Multiple Instance Learning and a Study on Thyroid Cancer Diagnosis,"also a clear trend with increasing scores in the case of an increasing ratio of
augmented data (β) is visible.",
398,MixUp-MIL: Novel Data Augmentation for Multiple Instance Learning and a Study on Thyroid Cancer Diagnosis,"with regard to the different data sets, we noticed a stronger, positive effect
in case of the frozen section data set.",
399,MixUp-MIL: Novel Data Augmentation for Multiple Instance Learning and a Study on Thyroid Cancer Diagnosis,"this is supposed to be due to the clearly higher variability of the frozen
sections corresponding with a need for a higher variability in the training
data.",
