,Title,Authors,Page numbers,DOI,Year of publication,Part of publication
247,Do We Really Need that Skip-Connection? Understanding Its Interplay with Task Complexity,"Amith Kamath, Jonas Willmann, Nicolaus Andratschke, Mauricio Reyes",302-311,10.1007/978-3-031-43901-8_29,2023,04
248,Conditional Temporal Attention Networks for Neonatal Cortical Surface Reconstruction,"Qiang Ma, Liu Li, Vanessa Kyriakopoulou, Joseph V. Hajnal, Emma C. Robinson, Bernhard Kainz et al.",312-322,10.1007/978-3-031-43901-8_30,2023,04
249,Elongated Physiological Structure Segmentation via Spatial and Scale Uncertainty-Aware Network,"Yinglin Zhang, Ruiling Xi, Huazhu Fu, Dave Towey, RuiBin Bai, Risa Higashita et al.",323-332,10.1007/978-3-031-43901-8_31,2023,04
250,EoFormer: Edge-Oriented Transformer for Brain Tumor Segmentation,"Dong She, Yueyi Zhang, Zheyu Zhang, Hebei Li, Zihan Yan, Xiaoyan Sun",333-343,10.1007/978-3-031-43901-8_32,2023,04
251,Breast Ultrasound Tumor Classification Using a Hybrid Multitask CNN-Transformer Network,"Bryar Shareef, Min Xian, Aleksandar Vakanski, Haotian Wang",344-353,10.1007/978-3-031-43901-8_33,2023,04
252,Shape-Aware 3D Small Vessel Segmentation with Local Contrast Guided Attention,"Zhiwei Deng, Songnan Xu, Jianwei Zhang, Jiong Zhang, Danny J. Wang, Lirong Yan et al.",354-363,10.1007/978-3-031-43901-8_34,2023,04
253,HartleyMHA: Self-attention in Frequency Domain for Resolution-Robust and Parameter-Efficient 3D Image Segmentation,"Ken C. L. Wong, Hongzhi Wang, Tanveer Syeda-Mahmood",364-373,10.1007/978-3-031-43901-8_35,2023,04
254,EdgeMixup: Embarrassingly Simple Data Alteration to Improve Lyme Disease Lesion Segmentation and Diagnosis Fairness,"Haolin Yuan, John Aucott, Armin Hadzic, William Paul, Marcia Villegas de Flores, Philip Mathew et al.",374-384,10.1007/978-3-031-43901-8_36,2023,04
255,Learning Ontology-Based Hierarchical Structural Relationship for Whole Brain Segmentation,"Junyan Lyu, Pengxiao Xu, Fatima Nasrallah, Xiaoying Tang",385-394,10.1007/978-3-031-43901-8_37,2023,04
256,Fine-Grained Hand Bone Segmentation via Adaptive Multi-dimensional Convolutional Network and Anatomy-Constraint Loss,"Bolun Zeng, Li Chen, Yuanyi Zheng, Ron Kikinis, Xiaojun Chen",395-404,10.1007/978-3-031-43901-8_38,2023,04
257,MedNeXt: Transformer-Driven Scaling of ConvNets for Medical Image Segmentation,"Saikat Roy, Gregor Koehler, Constantin Ulrich, Michael Baumgartner, Jens Petersen, Fabian Isensee et al.",405-415,10.1007/978-3-031-43901-8_39,2023,04
258,SwinUNETR-V2: Stronger Swin Transformers with Stagewise Convolutions for 3D Medical Image Segmentation,"Yufan He, Vishwesh Nath, Dong Yang, Yucheng Tang, Andriy Myronenko, Daguang Xu",416-426,10.1007/978-3-031-43901-8_40,2023,04
259,Medical Boundary Diffusion Model for Skin Lesion Segmentation,"Jiacheng Wang, Jing Yang, Qichao Zhou, Liansheng Wang",427-436,10.1007/978-3-031-43901-8_41,2023,04
260,Instructive Feature Enhancement for Dichotomous Medical Image Segmentation,"Lian Liu, Han Zhou, Jiongquan Chen, Sijing Liu, Wenlong Shi, Dong Ni et al.",437-447,10.1007/978-3-031-43901-8_42,2023,04
261,MDViT: Multi-domain Vision Transformer for Small Medical Image Segmentation Datasets,"Siyi Du, Nourhan Bayasi, Ghassan Hamarneh, Rafeef Garbi",448-458,10.1007/978-3-031-43901-8_43,2023,04
262,Semi-supervised Class Imbalanced Deep Learning for Cardiac MRI Segmentation,"Yuchen Yuan, Xi Wang, Xikai Yang, Ruijiang Li, Pheng-Ann Heng",459-469,10.1007/978-3-031-43901-8_44,2023,04
263,Collaborative Modality Generation and Tissue Segmentation for Early-Developing Macaque Brain MR Images,"Xueyang Wu, Tao Zhong, Shujun Liang, Li Wang, Gang Li, Yu Zhang",470-480,10.1007/978-3-031-43901-8_45,2023,04
264,EGE-UNet: An Efficient Group Enhanced UNet for Skin Lesion Segmentation,"Jiacheng Ruan, Mingye Xie, Jingsheng Gao, Ting Liu, Yuzhuo Fu",481-490,10.1007/978-3-031-43901-8_46,2023,04
265,BerDiff: Conditional Bernoulli Diffusion Model for Medical Image Segmentation,"Tao Chen, Chenhui Wang, Hongming Shan",491-501,10.1007/978-3-031-43901-8_47,2023,04
266,DBTrans: A Dual-Branch Vision Transformer for Multi-Modal Brain Tumor Segmentation,"Xinyi Zeng, Pinxian Zeng, Cheng Tang, Peng Wang, Binyu Yan, Yan Wang",502-512,10.1007/978-3-031-43901-8_48,2023,04
267,Memory Replay for Continual Medical Image Segmentation Through Atypical Sample Selection,"Sutanu Bera, Vinay Ummadi, Debashis Sen, Subhamoy Mandal, Prabir Kumar Biswas",513-522,10.1007/978-3-031-43901-8_49,2023,04
268,Structure-Decoupled Adaptive Part Alignment Network for Domain Adaptive Mitochondria Segmentation,"Rui Sun, Huayu Mai, Naisong Luo, Tianzhu Zhang, Zhiwei Xiong, Feng Wu",523-533,10.1007/978-3-031-43901-8_50,2023,04
269,Deep Probability Contour Framework for Tumour Segmentation and Dose Painting in PET Images,"Wenhui Zhang, Surajit Ray",534-543,10.1007/978-3-031-43901-8_51,2023,04
270,Annotator Consensus Prediction for Medical Image Segmentation with Diffusion Models,"Tomer Amit, Shmuel Shichrur, Tal Shaharabany, Lior Wolf",544-554,10.1007/978-3-031-43901-8_52,2023,04
271,Anti-adversarial Consistency Regularization for Data Augmentation: Applications to Robust Medical Image Segmentation,"Hyuna Cho, Yubin Han, Won Hwa Kim",555-566,10.1007/978-3-031-43901-8_53,2023,04
272,SimPLe: Similarity-Aware Propagation Learning for Weakly-Supervised Breast Cancer Segmentation in DCE-MRI,"Yuming Zhong, Yi Wang",567-577,10.1007/978-3-031-43901-8_54,2023,04
273,Multi-shot Prototype Contrastive Learning and Semantic Reasoning for Medical Image Segmentation,"Yuhui Song, Xiuquan Du, Yanping Zhang, Chenchu Xu",578-588,10.1007/978-3-031-43901-8_55,2023,04
274,Self-supervised Learning via Inter-modal Reconstruction and Feature Projection Networks for Label-Efficient 3D-to-2D Segmentation,"Jose Morano, Guilherme Aresta, Dmitrii Lachinov, Julia Mai, Ursula Schmidt-Erfurth, Hrvoje Bogunovic",589-599,10.1007/978-3-031-43901-8_56,2023,04
275,RCS-YOLO: A Fast and High-Accuracy Object Detector for Brain Tumor Detection,"Ming Kang, Chee-Ming Ting, Fung Fung Ting, Raphaël C.-W. Phan",600-610,10.1007/978-3-031-43901-8_57,2023,04
276,Certification of Deep Learning Models for Medical Image Segmentation,"Othmane Laousy, Alexandre Araujo, Guillaume Chassagnon, Nikos Paragios, Marie-Pierre Revel, Maria Vakalopoulou",611-621,10.1007/978-3-031-43901-8_58,2023,04
277,Diffusion Transformer U-Net for Medical Image Segmentation,"G. Jignesh Chowdary, Zhaozheng Yin",622-631,10.1007/978-3-031-43901-8_59,2023,04
278,Scaling up 3D Kernels with Bayesian Frequency Re-parameterization for Medical Image Segmentation,"Ho Hin Lee, Quan Liu, Shunxing Bao, Qi Yang, Xin Yu, Leon Y. Cai et al.",632-641,10.1007/978-3-031-43901-8_60,2023,04
279,ConvFormer: Plug-and-Play CNN-Style Transformers for Improving Medical Image Segmentation,"Xian Lin, Zengqiang Yan, Xianbo Deng, Chuansheng Zheng, Li Yu",642-651,10.1007/978-3-031-43901-8_61,2023,04
280,Edge-Aware Multi-task Network for Integrating Quantification Segmentation and Uncertainty Prediction of Liver Tumor on Multi-modality Non-contrast MRI,"Xiaojiao Xiao, Qinmin Vivian Hu, Guanghui Wang",652-661,10.1007/978-3-031-43901-8_62,2023,04
281,UPCoL: Uncertainty-Informed Prototype Consistency Learning for Semi-supervised Medical Image Segmentation,"Wenjing Lu, Jiahao Lei, Peng Qiu, Rui Sheng, Jinhua Zhou, Xinwu Lu et al.",662-672,10.1007/978-3-031-43901-8_63,2023,04
282,A2FSeg: Adaptive Multi-modal Fusion Network for Medical Image Segmentation,"Zirui Wang, Yi Hong",673-681,10.1007/978-3-031-43901-8_64,2023,04
283,Learning Reliability of Multi-modality Medical Images for Tumor Segmentation via Evidence-Identified Denoising Diffusion Probabilistic Models,"Jianfeng Zhao, Shuo Li",682-691,10.1007/978-3-031-43901-8_65,2023,04
284,H-DenseFormer: An Efficient Hybrid Densely Connected Transformer for Multimodal Tumor Segmentation,"Jun Shi, Hongyu Kan, Shulan Ruan, Ziqi Zhu, Minfan Zhao, Liang Qiao et al.",692-702,10.1007/978-3-031-43901-8_66,2023,04
285,Evolutionary Normalization Optimization Boosts Semantic Segmentation Network Performance,"Luisa Neubig, Andreas M. Kist",703-712,10.1007/978-3-031-43901-8_67,2023,04
286,DOMINO++: Domain-Aware Loss Regularization for Deep Learning Generalizability,"Skylar E. Stolte, Kyle Volle, Aprinda Indahlastari, Alejandro Albizu, Adam J. Woods, Kevin Brink et al.",713-723,10.1007/978-3-031-43901-8_68,2023,04
287,Ariadnes Thread: Using Text Prompts to Improve Segmentation of Infected Areas from Chest X-ray Images,"Yi Zhong, Mengqiu Xu, Kongming Liang, Kaixin Chen, Ming Wu",724-733,10.1007/978-3-031-43901-8_69,2023,04
288,NISF: Neural Implicit Segmentation Functions,"Nil Stolt-Ansó, Julian McGinnis, Jiazhen Pan, Kerstin Hammernik, Daniel Rueckert",734-744,10.1007/978-3-031-43901-8_70,2023,04
289,Multimodal CT and MR Segmentation of Head and Neck Organs-at-Risk,"Gasper Podobnik, Primoz Strojan, Primoz Peterlin, Bulat Ibragimov, Tomaz Vrtovec",745-755,10.1007/978-3-031-43901-8_71,2023,04
290,Conditional Diffusion Models for Weakly Supervised Medical Image Segmentation,"Xinrong Hu, Yu-Jen Chen, Tsung-Yi Ho, Yiyu Shi",756-765,10.1007/978-3-031-43901-8_72,2023,04
291,From Sparse to Precise: A Practical Editing Approach for Intracardiac Echocardiography Segmentation,"Ahmed H. Shahin, Yan Zhuang, Noha El-Zehiry",766-775,10.1007/978-3-031-43901-8_73,2023,04
292,Ischemic Stroke Segmentation from a Cross-Domain Representation in Multimodal Diffusion Studies,"Santiago Gómez, Daniel Mantilla, Brayan Valenzuela, Andres Ortiz, Daniela D Vera, Paul Camacho et al.",776-785,10.1007/978-3-031-43901-8_74,2023,04
293,Pre-operative Survival Prediction of Diffuse Glioma Patients with Joint Tumor Subtyping,"Zhenyu Tang, Zhenyu Zhang, Huabing Liu, Dong Nie, Jing Yan",786-795,10.1007/978-3-031-43901-8_75,2023,04
294,Automatic Bleeding Risk Rating System of Gastric Varices,"Yicheng Jiang, Luyue Shi, Wei Qi, Lei Chen, Guanbin Li, Xiaoguang Han et al.",3-12,10.1007/978-3-031-43904-9_1,2023,05
295,You Dont Have to Be Perfect to Be Amazing: Unveil the Utility of Synthetic Images,"Xiaodan Xing, Federico Felder, Yang Nan, Giorgos Papanastasiou, Simon Walsh, Guang Yang",13-22,10.1007/978-3-031-43904-9_2,2023,05
296,SHISRCNet: Super-Resolution and Classification Network for Low-Resolution Breast Cancer Histopathology Image,"Luyuan Xie, Cong Li, Zirui Wang, Xin Zhang, Boyan Chen, Qingni Shen et al.",23-32,10.1007/978-3-031-43904-9_3,2023,05
297,cOOpD: Reformulating COPD Classification on Chest CT Scans as Anomaly Detection Using Contrastive Representations,"Silvia D. Almeida, Carsten T. Lüth, Tobias Norajitra, Tassilo Wald, Marco Nolden, Paul F. Jäger et al.",33-43,10.1007/978-3-031-43904-9_4,2023,05
298,YONA: You Only Need One Adjacent Reference-Frame for Accurate and Fast Video Polyp Detection,"Yuncheng Jiang, Zixun Zhang, Ruimao Zhang, Guanbin Li, Shuguang Cui, Zhen Li",44-54,10.1007/978-3-031-43904-9_5,2023,05
299,Personalized Patch-Based Normality Assessment of Brain Atrophy in Alzheimers Disease,"Jianwei Zhang, Yonggang Shi",55-62,10.1007/978-3-031-43904-9_6,2023,05
300,Patients and Slides are Equal: A Multi-level Multi-instance Learning Framework for Pathological Image Analysis,"Fei Li, Mingyu Wang, Bin Huang, Xiaoyu Duan, Zhuya Zhang, Ziyin Ye et al.",63-71,10.1007/978-3-031-43904-9_7,2023,05
301,Liver Tumor Screening and Diagnosis in CT with Pixel-Lesion-Patient Network,"Ke Yan, Xiaoli Yin, Yingda Xia, Fakai Wang, Shu Wang, Yuan Gao et al.",72-82,10.1007/978-3-031-43904-9_8,2023,05
302,Self- and Semi-supervised Learning for Gastroscopic Lesion Detection,"Xuanye Zhang, Kaige Yin, Siqi Liu, Zhijie Feng, Xiaoguang Han, Guanbin Li et al.",83-93,10.1007/978-3-031-43904-9_9,2023,05
303,DiffULD: Diffusive Universal Lesion Detection,"Peiang Zhao, Han Li, Ruiyang Jin, S. Kevin Zhou",94-105,10.1007/978-3-031-43904-9_10,2023,05
304,Graph-Theoretic Automatic Lesion Tracking and Detection of Patterns of Lesion Changes in Longitudinal CT Studies,"Beniamin Di Veroli, Richard Lederman, Jacob Sosna, Leo Joskowicz",106-115,10.1007/978-3-031-43904-9_11,2023,05
305,Learning with Synthesized Data for Generalizable Lesion Detection in Real PET Images,"Xinyi Yang, Bennett Chin, Michael Silosky, Daniel Litwiller, Debashis Ghosh, Fuyong Xing",116-126,10.1007/978-3-031-43904-9_12,2023,05
306,Robust Exclusive Adaptive Sparse Feature Selection for Biomarker Discovery and Early Diagnosis of Neuropsychiatric Systemic Lupus Erythematosus,"Tianhong Quan, Ye Yuan, Yu Luo, Teng Zhou, Jing Qin",127-135,10.1007/978-3-031-43904-9_13,2023,05
307,Multi-view Vertebra Localization and Identification from CT Images,"Han Wu, Jiadong Zhang, Yu Fang, Zhentao Liu, Nizhuan Wang, Zhiming Cui et al.",136-145,10.1007/978-3-031-43904-9_14,2023,05
308,Cluster-Induced Mask Transformers for Effective Opportunistic Gastric Cancer Screening on Non-contrast CT Scans,"Mingze Yuan, Yingda Xia, Xin Chen, Jiawen Yao, Junli Wang, Mingyan Qiu et al.",146-156,10.1007/978-3-031-43904-9_15,2023,05
309,Detecting Domain Shift in Multiple Instance Learning for Digital Pathology Using Fréchet Domain Distance,"Milda Poceviciute, Gabriel Eilertsen, Stina Garvin, Claes Lundström",157-167,10.1007/978-3-031-43904-9_16,2023,05
310,Positive Definite Wasserstein Graph Kernel for Brain Disease Diagnosis,"Kai Ma, Xuyun Wen, Qi Zhu, Daoqiang Zhang",168-177,10.1007/978-3-031-43904-9_17,2023,05
311,A Reliable and Interpretable Framework of Multi-view Learning for Liver Fibrosis Staging,"Zheyao Gao, Yuanye Liu, Fuping Wu, Nannan Shi, Yuxin Shi, Xiahai Zhuang",178-188,10.1007/978-3-031-43904-9_18,2023,05
312,Utilizing Longitudinal Chest X-Rays and Reports to Pre-fill Radiology Reports,"Qingqing Zhu, Tejas Sudharshan Mathai, Pritam Mukherjee, Yifan Peng, Ronald M. Summers, Zhiyong Lu",189-198,10.1007/978-3-031-43904-9_19,2023,05
313,Parse and Recall: Towards Accurate Lung Nodule Malignancy Prediction Like Radiologists,"Jianpeng Zhang, Xianghua Ye, Jianfeng Zhang, Yuxing Tang, Minfeng Xu, Jianfei Guo et al.",199-209,10.1007/978-3-031-43904-9_20,2023,05
314,Privacy-Preserving Early Detection of Epileptic Seizures in Videos,"Deval Mehta, Shobi Sivathamboo, Hugh Simpson, Patrick Kwan, Terence OBrien, Zongyuan Ge",210-219,10.1007/978-3-031-43904-9_21,2023,05
315,Punctate White Matter Lesion Segmentation in Preterm Infants Powered by Counterfactually Generative Learning,"Zehua Ren, Yongheng Sun, Miaomiao Wang, Yuying Feng, Xianjun Li, Chao Jin et al.",220-229,10.1007/978-3-031-43904-9_22,2023,05
316,Discovering Brain Network Dysfunction in Alzheimers Disease Using Brain Hypergraph Neural Network,"Hongmin Cai, Zhixuan Zhou, Defu Yang, Guorong Wu, Jiazhou Chen",230-240,10.1007/978-3-031-43904-9_23,2023,05
317,Improved Prognostic Prediction of Pancreatic Cancer Using Multi-phase CT by Integrating Neural Distance and Texture-Aware Transformer,"Hexin Dong, Jiawen Yao, Yuxing Tang, Mingze Yuan, Yingda Xia, Jian Zhou et al.",241-251,10.1007/978-3-031-43904-9_24,2023,05
318,Contrastive Feature Decoupling for Weakly-Supervised Disease Detection,"Jhih-Ciang Wu, Ding-Jie Chen, Chiou-Shann Fuh",252-261,10.1007/978-3-031-43904-9_25,2023,05
319,Uncovering Heterogeneity in Alzheimers Disease from Graphical Modeling of the Tau Spatiotemporal Topography,"Jiaxin Yue, Yonggang Shi",262-271,10.1007/978-3-031-43904-9_26,2023,05
320,Text-Guided Foundation Model Adaptation for Pathological Image Classification,"Yunkun Zhang, Jin Gao, Mu Zhou, Xiaosong Wang, Yu Qiao, Shaoting Zhang et al.",272-282,10.1007/978-3-031-43904-9_27,2023,05
321,Multiple Prompt Fusion for Zero-Shot Lesion Detection Using Vision-Language Models,"Miaotian Guo, Huahui Yi, Ziyuan Qin, Haiying Wang, Aidong Men, Qicheng Lao",283-292,10.1007/978-3-031-43904-9_28,2023,05
322,Reversing the Abnormal: Pseudo-Healthy Generative Networks for Anomaly Detection,"Cosmin I. Bercea, Benedikt Wiestler, Daniel Rueckert, Julia A. Schnabel",293-303,10.1007/978-3-031-43904-9_29,2023,05
323,What Do AEs Learn? Challenging Common Assumptions in Unsupervised Anomaly Detection,"Cosmin I. Bercea, Daniel Rueckert, Julia A. Schnabel",304-314,10.1007/978-3-031-43904-9_30,2023,05
324,SwIPE: Efficient and Robust Medical Image Segmentation with Implicit Patch Embeddings,"Yejia Zhang, Pengfei Gu, Nishchal Sapkota, Danny Z. Chen",315-326,10.1007/978-3-031-43904-9_31,2023,05
325,Smooth Attention for Deep Multiple Instance Learning: Application to CT Intracranial Hemorrhage Detection,"Yunan Wu, Francisco M. Castro-Macías, Pablo Morales-Álvarez, Rafael Molina, Aggelos K. Katsaggelos",327-337,10.1007/978-3-031-43904-9_32,2023,05
326,DCAug: Domain-Aware and Content-Consistent Cross-Cycle Framework for Tumor Augmentation,"Qikui Zhu, Lei Yin, Qian Tang, Yanqing Wang, Yanxiang Cheng, Shuo Li",338-347,10.1007/978-3-031-43904-9_33,2023,05
327,Beyond the Snapshot: Brain Tokenized Graph Transformer for Longitudinal Brain Functional Connectome Embedding,"Zijian Dong, Yilei Wu, Yu Xiao, Joanna Su Xian Chong, Yueming Jin, Juan Helen Zhou",348-357,10.1007/978-3-031-43904-9_34,2023,05
328,CARL: Cross-Aligned Representation Learning for Multi-view Lung Cancer Histology Classification,"Yin Luo, Wei Liu, Tao Fang, Qilong Song, Xuhong Min, Minghui Wang et al.",358-367,10.1007/978-3-031-43904-9_35,2023,05
329,Style-Based Manifold for Weakly-Supervised Disease Characteristic Discovery,"Siyu Liu, Linfeng Liu, Craig Engstrom, Xuan Vinh To, Zongyuan Ge, Stuart Crozier et al.",368-378,10.1007/978-3-031-43904-9_36,2023,05
330,COVID-19 Pneumonia Classification with Transformer from Incomplete Modalities,"Eduard Lloret Carbonell, Yiqing Shen, Xin Yang, Jing Ke",379-388,10.1007/978-3-031-43904-9_37,2023,05
331,Enhancing Breast Cancer Risk Prediction by Incorporating Prior Images,"Hyeonsoo Lee, Junha Kim, Eunkyung Park, Minjeong Kim, Taesoo Kim, Thijs Kooi",389-398,10.1007/978-3-031-43904-9_38,2023,05
332,Uncertainty Inspired Autism Spectrum Disorder Screening,"Ying Zhang, Yaping Huang, Jiansong Qi, Sihui Zhang, Mei Tian, Yi Tian",399-408,10.1007/978-3-031-43904-9_39,2023,05
333,Rad-ReStruct: A Novel VQA Benchmark and Method for Structured Radiology Reporting,"Chantal Pellegrini, Matthias Keicher, Ege Ozsoy, Nassir Navab",409-419,10.1007/978-3-031-43904-9_40,2023,05
334,Xplainer: From X-Ray Observations to Explainable Zero-Shot Diagnosis,"Chantal Pellegrini, Matthias Keicher, Ege Ozsoy, Petra Jiraskova, Rickmer Braren, Nassir Navab",420-429,10.1007/978-3-031-43904-9_41,2023,05
335,Towards Generalizable Diabetic Retinopathy Grading in Unseen Domains,"Haoxuan Che, Yuhan Cheng, Haibo Jin, Hao Chen",430-440,10.1007/978-3-031-43904-9_42,2023,05
336,Boosting Breast Ultrasound Video Classification by the Guidance of Keyframe Feature Centers,"Anlan Sun, Zhao Zhang, Meng Lei, Yuting Dai, Dong Wang, Liwei Wang",441-451,10.1007/978-3-031-43904-9_43,2023,05
337,Learning with Domain-Knowledge for Generalizable Prediction of Alzheimers Disease from Multi-site Structural MRI,"Yanjie Zhou, Youhao Li, Feng Zhou, Yong Liu, Liyun Tu",452-461,10.1007/978-3-031-43904-9_44,2023,05
338,GSDG: Exploring a Global Semantic-Guided Dual-Stream Graph Model for Automated Volume Differential Diagnosis and Prognosis,"Shouyu Chen, Xin Guo, Jianping Zhu, Yin Wang",462-471,10.1007/978-3-031-43904-9_45,2023,05
339,Improving Image-Based Precision Medicine with Uncertainty-Aware Causal Models,"Joshua Durso-Finley, Jean-Pierre Falet, Raghav Mehta, Douglas L. Arnold, Nick Pawlowski, Tal Arbel",472-481,10.1007/978-3-031-43904-9_46,2023,05
340,Diversity-Preserving Chest Radiographs Generation from Reports in One Stage,"Zeyi Hou, Ruixin Yan, Qizheng Wang, Ning Lang, Xiuzhuang Zhou",482-492,10.1007/978-3-031-43904-9_47,2023,05
341,Contrastive Masked Image-Text Modeling for Medical Visual Representation Learning,"Cheng Chen, Aoxiao Zhong, Dufan Wu, Jie Luo, Quanzheng Li",493-503,10.1007/978-3-031-43904-9_48,2023,05
342,Adjustable Robust Transformer for High Myopia Screening in Optical Coherence Tomography,"Xiao Ma, Zetian Zhang, Zexuan Ji, Kun Huang, Na Su, Songtao Yuan et al.",504-514,10.1007/978-3-031-43904-9_49,2023,05
343,Improving Outcome Prediction of Pulmonary Embolism by De-biased Multi-modality Model,"Zhusi Zhong, Jie Li, Shreyas Kulkarni, Yang Li, Fayez H. Fayad, Helen Zhang et al.",515-525,10.1007/978-3-031-43904-9_50,2023,05
344,Recruiting the Best Teacher Modality: A Customized Knowledge Distillation Method for if Based Nephropathy Diagnosis,"Ning Dai, Lai Jiang, Yibing Fu, Sai Pan, Mai Xu, Xin Deng et al.",526-536,10.1007/978-3-031-43904-9_51,2023,05
345,Text-Guided Cross-Position Attention for Segmentation: Case of Medical Image,"Go-Eun Lee, Seon Ho Kim, Jungchan Cho, Sang Tae Choi, Sang-Il Choi",537-546,10.1007/978-3-031-43904-9_52,2023,05
346,Visual-Attribute Prompt Learning for Progressive Mild Cognitive Impairment Prediction,"Luoyao Kang, Haifan Gong, Xiang Wan, Haofeng Li",547-557,10.1007/978-3-031-43904-9_53,2023,05
347,Acute Ischemic Stroke Onset Time Classification with Dynamic Convolution and Perfusion Maps Fusion,"Peng Yang, Yuchen Zhang, Haijun Lei, Yueyan Bian, Qi Yang, Baiying Lei",558-568,10.1007/978-3-031-43904-9_54,2023,05
348,Self-supervised Learning for Endoscopic Video Analysis,"Roy Hirsch, Mathilde Caron, Regev Cohen, Amir Livne, Ron Shapiro, Tomer Golany et al.",569-578,10.1007/978-3-031-43904-9_55,2023,05
349,Fast Non-Markovian Diffusion Model for Weakly Supervised Anomaly Detection in Brain MR Images,"Jinpeng Li, Hanqun Cao, Jiaze Wang, Furui Liu, Qi Dou, Guangyong Chen et al.",579-589,10.1007/978-3-031-43904-9_56,2023,05
350,Self-supervised Polyp Re-identification in Colonoscopy,"Yotam Intrator, Natalie Aizenberg, Amir Livne, Ehud Rivlin, Roman Goldenberg",590-600,10.1007/978-3-031-43904-9_57,2023,05
351,A Multimodal Disease Progression Model for Genetic Associations with Disease Dynamics,"Nemo Fournier, Stanley Durrleman",601-610,10.1007/978-3-031-43904-9_58,2023,05
352,Visual Grounding of Whole Radiology Reports for 3D CT Images,"Akimichi Ichinose, Taro Hatsutani, Keigo Nakamura, Yoshiro Kitamura, Satoshi Iizuka, Edgar Simo-Serra et al.",611-621,10.1007/978-3-031-43904-9_59,2023,05
353,Identification of Disease-Sensitive Brain Imaging Phenotypes and Genetic Factors Using GWAS Summary Statistics,"Duo Xi, Dingnan Cui, Jin Zhang, Muheng Shang, Minjianan Zhang, Lei Guo et al.",622-631,10.1007/978-3-031-43904-9_60,2023,05
354,Revisiting Feature Propagation and Aggregation in Polyp Segmentation,"Yanzhou Su, Yiqing Shen, Jin Ye, Junjun He, Jian Cheng",632-641,10.1007/978-3-031-43904-9_61,2023,05
355,MUVF-YOLOX: A Multi-modal Ultrasound Video Fusion Network for Renal Tumor Diagnosis,"Junyu Li, Han Huang, Dong Ni, Wufeng Xue, Dongmei Zhu, Jun Cheng",642-651,10.1007/978-3-031-43904-9_62,2023,05
356,Unsupervised Classification of Congenital Inner Ear Malformations Using DeepDiffusion for Latent Space Representation,"Paula López Diez, Jan Margeta, Khassan Diab, François Patou, Rasmus R. Paulsen",652-662,10.1007/978-3-031-43904-9_63,2023,05
357,How Does Pruning Impact Long-Tailed Multi-label Medical Image Classifiers?,"Gregory Holste, Ziyu Jiang, Ajay Jaiswal, Maria Hanna, Shlomo Minkowitz, Alan C. Legasto et al.",663-673,10.1007/978-3-031-43904-9_64,2023,05
358,Multimodal Deep Fusion in Hyperbolic Space for Mild Cognitive Impairment Study,"Lu Zhang, Saiyang Na, Tianming Liu, Dajiang Zhu, Junzhou Huang",674-684,10.1007/978-3-031-43904-9_65,2023,05
359,Hierarchical Vision Transformers for Disease Progression Detection in Chest X-Ray Images,"Amarachi B. Mbakwe, Lyuyang Wang, Mehdi Moradi, Ismini Lourentzou",685-695,10.1007/978-3-031-43904-9_66,2023,05
360,Improved Flexibility and Interpretability of Large Vessel Stroke Prognostication Using Image Synthesis and Multi-task Learning,"Minyan Zeng, Yutong Xie, Minh-Son To, Lauren Oakden-Rayner, Luke Whitbread, Stephen Bacchi et al.",696-705,10.1007/978-3-031-43904-9_67,2023,05
361,"Transformer-Based Tooth Segmentation, Identification and Pulp Calcification Recognition in CBCT","Shangxuan Li, Chichi Li, Yu Du, Li Ye, Yanshu Fang, Cheng Wang et al.",706-714,10.1007/978-3-031-43904-9_68,2023,05
362,Treatment Outcome Prediction for Intracerebral Hemorrhage via Generative Prognostic Model with Imaging and Tabular Data,"Wenao Ma, Cheng Chen, Jill Abrigo, Calvin Hoi-Kwan Mak, Yuqi Gong, Nga Yan Chan et al.",715-725,10.1007/978-3-031-43904-9_69,2023,05
363,Open-Ended Medical Visual Question Answering Through Prefix Tuning of Language Models,"Tom van Sonsbeek, Mohammad Mahdi Derakhshani, Ivona Najdenkoska, Cees G. M. Snoek, Marcel Worring",726-736,10.1007/978-3-031-43904-9_70,2023,05
364,Flexible Unfolding of Circular Structures for Rendering Textbook-Style Cerebrovascular Maps,"Leonhard Rist, Oliver Taubmann, Hendrik Ditt, Michael Suhling, Andreas Maier",737-746,10.1007/978-3-031-43904-9_71,2023,05
365,Dynamic Curriculum Learning via In-Domain Uncertainty for Medical Image Classification,"Chaoyi Li, Meng Li, Can Peng, Brian C. Lovell",747-757,10.1007/978-3-031-43904-9_72,2023,05
366,"Joint Prediction of Response to Therapy, Molecular Traits, and Spatial Organisation in Colorectal Cancer Biopsies","Ruby Wood, Enric Domingo, Korsuk Sirinukunwattana, Maxime W. Lafarge, Viktor H. Koelzer, Timothy S. Maughan et al.",758-767,10.1007/978-3-031-43904-9_73,2023,05
367,Distributionally Robust Image Classifiers for Stroke Diagnosis in Accelerated MRI,"Boran Hao, Guoyao Shen, Ruidi Chen, Chad W. Farris, Stephan W. Anderson, Xin Zhang et al.",768-777,10.1007/978-3-031-43904-9_74,2023,05
